"","itweet"
"id 16","#disruptjmm"
"id 16","#jmm2020"
"id 17","thank"
"id 17","organizing"
"id 17","many"
"id 17","important"
"id 17","point"
"id 17","made"
"id 17","many"
"id 17","thing"
"id 17","think"
"id 17","#disruptjmm"
"id 18","didnt"
"id 18","expect"
"id 18","facing"
"id 18","sense"
"id 18","notbelonging"
"id 18","quickly"
"id 18","deeply"
"id 18","#disruptjmm"
"id 18","session"
"id 18","user10"
"id 19","come"
"id 19","user10"
"id 19","#awkwardboardingselfie"
"id 19","#disruptjmm"
"id 20","happy"
"id 20","folk"
"id 20","like"
"id 20","user250"
"id 20","user70"
"id 20","user212"
"id 20","user36"
"id 20","user216"
"id 20","other"
"id 20","live"
"id 20","tweeting"
"id 20","user102"
"id 20","talk"
"id 20","#jmm"
"id 20","thank"
"id 20","everyone"
"id 20","please"
"id 20","keep"
"id 20","sharing"
"id 20","#disruptjmm"
"id 20","content"
"id 20","u"
"id 20","arent"
"id 21","yo"
"id 21","user102"
"id 21","delivering"
"id 21","🔥"
"id 21","🗡️"
"id 21","voice"
"id 21","sound"
"id 21","like"
"id 21","🕊️"
"id 21","#jmm2020"
"id 21","#disruptjmm"
"id 22","di"
"id 22","betterment"
"id 22","math"
"id 22","without"
"id 22","effort"
"id 22","bring"
"id 22","resource"
"id 22","give"
"id 22","back"
"id 22","marginalized"
"id 22","communitie"
"id 22","individual"
"id 22","coming"
"id 22","perpetuate"
"id 22","exploitation"
"id 22","isnt"
"id 22","another"
"id 22","way"
"id 22","taking"
"id 22","resource"
"id 22","marginalized"
"id 22","communitie"
"id 22","user102"
"id 22","#jmm2020"
"id 22","#disruptjmm"
"id 23","challenge"
"id 23","revisited"
"id 23","user102"
"id 23","highlight"
"id 23","metaphor"
"id 23","encourage"
"id 23","u"
"id 23","reflect"
"id 23","implication"
"id 23","welcome"
"id 23","individual"
"id 23","underrepresented"
"id 23","marginalized"
"id 23","communitie"
"id 23","mathematic"
"id 23","community"
"id 23","#jmm2020"
"id 23","#disruptjmm"
"id 24","key"
"id 24","thing"
"id 24","u"
"id 24","think"
"id 24","#jmm2020"
"id 24","#disruptjmm"
"id 24","user102"
"id 25","#disruptjmm"
"id 25","mean"
"id 25","say"
"id 25","need"
"id 25","welcome"
"id 25","marginalized"
"id 25","communitie"
"id 25","community"
"id 25","subtext"
"id 25","already"
"id 25","part"
"id 25","communityuser102"
"id 25","#jmm2020"
"id 26","extent"
"id 26","using"
"id 26","diversity"
"id 26","get"
"id 26","workforce"
"id 26","still"
"id 26","assimilation"
"id 26","exploitation"
"id 26","still"
"id 26","promoting"
"id 26","elite"
"id 26","western"
"id 26","epistemology"
"id 26","user102"
"id 26","#disruptjmm"
"id 26","#jmm2020"
"id 27","#disruptjmm"
"id 27","user102"
"id 27","explore"
"id 27","like"
"id 27","mathematic"
"id 27","job"
"id 27","opportunitie"
"id 27","institutionscompanie"
"id 27","historically"
"id 27","involved"
"id 27","oppression"
"id 27","#jmm2020"
"id 28","higher"
"id 28","education"
"id 28","indigenou"
"id 28","communitie"
"id 28","alway"
"id 28","exploitation"
"id 28","#disruptjmm"
"id 28","#jmm2020"
"id 29","important"
"id 29","messagereminder"
"id 29","user102"
"id 29","los"
"id 29","language"
"id 29","kind"
"id 29","natural"
"id 29","occurrence"
"id 29","los"
"id 29","indigenou"
"id 29","language"
"id 29","come"
"id 29","storie"
"id 29","violence"
"id 29","trauma"
"id 29","#jmm2020"
"id 29","#disruptjmm"
"id 29","#jedi"
"id 29","#diversityandinclusion"
"id 29","#diversityorelse"
"id 30","diversity"
"id 30","paradigm"
"id 30","one"
"id 30","way"
"id 30","center"
"id 30","privilege"
"id 30","benefit"
"id 30","whitenes"
"id 30","#disruptjmm"
"id 31","challenge"
"id 31","user102"
"id 31","consider"
"id 31","diversity"
"id 31","inclusion"
"id 31","reference"
"id 31","blog"
"id 31","post"
"id 31","user152"
"id 31","#disruptjmm"
"id 31","#jmm2020"
"id 32","dr"
"id 32","tsinnajinnie"
"id 32","user102"
"id 32","begin"
"id 32","quoting"
"id 32","user36"
"id 32","tweet"
"id 32","blog"
"id 32","post"
"id 32","inviting"
"id 32","attendee"
"id 32","#disruptjmm"
"id 32","follow"
"id 32","hashtag"
"id 32","join"
"id 32","conversation"
"id 32","justice"
"id 32","equity"
"id 32","diversity"
"id 32","inclusion"
"id 32","#jedi"
"id 32","#jmm2020"
"id 33","#disruptjmm"
"id 33","engage"
"id 33","equity"
"id 33","inclusion"
"id 33","diversity"
"id 33","initiative"
"id 33","really"
"id 33","benefits"
"id 34","care"
"id 34","diversity"
"id 34","inclusion"
"id 34","user102"
"id 34","invite"
"id 34","u"
"id 34","answer"
"id 34","question"
"id 34","#jmm2020"
"id 34","#disruptjmm"
"id 35","awesome"
"id 35","user266"
"id 35","introduce"
"id 35","user102"
"id 35","call"
"id 35","acknowledge"
"id 35","stolen"
"id 35","land"
"id 35","#disruptjmm"
"id 35","shout"
"id 35","user36"
"id 36","first"
"id 36","session"
"id 36","#jmm2020"
"id 36","proud"
"id 36","tweetbanner"
"id 36","user36"
"id 36","looking"
"id 36","forward"
"id 36","#disruptjmm"
"id 36","hearing"
"id 36","user102"
"id 36","amongst"
"id 36","many"
"id 36","other"
"id 36","maasiamam"
"id 36","hrabowskigatestapiamcbay"
"id 36","session"
"id 37","user36"
"id 37","first"
"id 37","citation"
"id 37","user10"
"id 37","user102"
"id 37","invited"
"id 37","presentation"
"id 37","#disruptjmm"
"id 37","moving"
"id 37","diversity"
"id 37",">"
"id 37","antioppression"
"id 38","opening"
"id 38","slide"
"id 38","user102"
"id 38","talk"
"id 38","#jmm2020"
"id 38","#disruptjmm"
"id 39","#disruptjmm"
"id 39","dont"
"id 39","just"
"id 39","need"
"id 39","show"
"id 39","🦈🦈🦈"
"id 39","disagree"
"id 39","gotta"
"id 39","show"
"id 39","🐟🐠🐡"
"id 39","belong"
"id 39","wanted"
"id 39","#jmm2020"
"id 39","#diversityorelse"
"id 40","#awkwardboardingselfie"
"id 40","way"
"id 40","#jmm2020"
"id 40","sharing"
"id 40","flight"
"id 40","coach"
"id 40","paul"
"id 40","weir"
"id 40","rest"
"id 40","user273"
"id 40","team"
"id 40","handle"
"id 40","indicate"
"id 40","ill"
"id 40","cheering"
"id 40","support"
"id 40","#disruptjmm"
"id 41","user78"
"id 41","solidarity"
"id 41","im"
"id 41","trying"
"id 41","amplify"
"id 41","#disruptjmm"
"id 41","can"
"id 41","identify"
"id 41","space"
"id 41","support"
"id 41","disrupt"
"id 41","current"
"id 41","system"
"id 42","user250"
"id 42","hey"
"id 42","old"
"id 42","thread"
"id 42","fun"
"id 42","dig"
"id 42","sometime"
"id 42","gonna"
"id 42","start"
"id 42","#disruptjmm"
"id 42","talk"
"id 42","way"
"id 42","user212"
"id 42","lol"
"id 43","okay"
"id 43","b"
"id 43","slide"
"id 43","done"
"id 43","think"
"id 43","counted"
"id 43","least"
"id 43","5"
"id 43","#disruptjmm"
"id 43","thursday"
"id 44","honor"
"id 44","#diversityandinclusion"
"id 44","hope"
"id 44","consider"
"id 44","might"
"id 44","#disruptjmm"
"id 44","challenge"
"id 44","#jmm2020"
"id 45","user35"
"id 45","user75"
"id 45","user341"
"id 45","#disruptjmm"
"id 46","user250"
"id 46","sounded"
"id 46","like"
"id 46","opening"
"id 46","great"
"id 46","plenary"
"id 46","though"
"id 46","#disruptjmm"
"id 47","#eim2"
"id 47","#ethic"
"id 47","#disruptdatascience"
"id 47","#disruptjmm"
"id 47","#csethic"
"id 48","practicing"
"id 48","new"
"id 48","hashtag"
"id 48","#disruptjmm"
"id 48","#disruptmath"
"id 49","#disruptjmm"
"id 50","like"
"id 50","take"
"id 50","read"
"id 50","thread"
"id 50","hope"
"id 50","privileged"
"id 50","people"
"id 50","can"
"id 50","adapt"
"id 50","attitude"
"id 50","challenged"
"id 50","#disruptjmm"
"id 51","carry"
"id 51","weight"
"id 51","can"
"id 51","get"
"id 51","back"
"id 51","thinking"
"id 51","math"
"id 51","🔥❤️🔥"
"id 51","#disruptjmm"
"id 52","highly"
"id 52","recommend"
"id 52","reading"
"id 52","incredible"
"id 52","woman"
"id 52","statement"
"id 52","read"
"id 52","beginning"
"id 52","number"
"id 52","theory"
"id 52","talk"
"id 52","#disruptjmm"
"id 53","hey"
"id 53","#disruptjmm"
"id 53","user266"
"id 53","going"
"id 53","stout"
"id 53","st"
"id 53","social"
"id 53","45"
"id 53","min"
"id 53","want"
"id 53","join"
"id 54","user76"
"id 54","almost"
"id 54","wayother"
"id 54","#disruptjmm"
"id 54","welcome"
"id 54","join"
"id 55","need"
"id 55","lunch"
"id 55","#disruptjmm"
"id 55","folks"
"id 56","big"
"id 56","thank"
"id 56","aba"
"id 56","mbirika"
"id 56","fun"
"id 56","beautiful"
"id 56","talk"
"id 56","reminding"
"id 56","u"
"id 56","fun"
"id 56","beautiful"
"id 56","math"
"id 56","#jmm2020"
"id 56","#disruptjmm"
"id 56","user10"
"id 57","panel"
"id 57","answer"
"id 57","transgender"
"id 57","nonbinary"
"id 57","student"
"id 57","support"
"id 57","power"
"id 57","outin"
"id 57","going"
"id 57","kind"
"id 57","way"
"id 57","courage"
"id 57","community"
"id 57","particularly"
"id 57","junior"
"id 57","colleague"
"id 57","amazing"
"id 57","#disruptjmm"
"id 58","wild"
"id 58","real"
"id 58","mark"
"id 58","privilege"
"id 58","dont"
"id 58","know"
"id 58","harasser"
"id 58","particular"
"id 58","research"
"id 58","community"
"id 58","im"
"id 58","naive"
"id 58","enough"
"id 58","pretend"
"id 58","arent"
"id 58","#disruptjmm"
"id 59","really"
"id 59","interesting"
"id 59","perspective"
"id 59","user172"
"id 59","#disruptjmm"
"id 59","remark"
"id 60","educator"
"id 60","must"
"id 60","allie"
"id 60","|"
"id 60","kelly"
"id 60","holstine"
"id 60","via"
"id 60","user83"
"id 60","user338"
"id 60","#cleartheair"
"id 60","#iteachmath"
"id 60","#mtbo"
"id 60","#disruptjmm"
"id 61","advocate"
"id 61","systemic"
"id 61","institutional"
"id 61","change"
"id 61","position"
"id 61","also"
"id 61","stuff"
"id 61","immediately"
"id 61","can"
"id 61","#disruptjmm"
"id 61","#jmm2020"
"id 61","user10"
"id 62","donating"
"id 62","time"
"id 62","money"
"id 62","lgbtq+"
"id 62","people"
"id 62","cause"
"id 62","good"
"id 62","way"
"id 62","apologize"
"id 62","meaningfully"
"id 62","#disruptjmm"
"id 62","#jmm2020"
"id 62","user10"
"id 63","waiting"
"id 63","shitty"
"id 63","people"
"id 63","retire"
"id 63","andor"
"id 63","die"
"id 63","doesnt"
"id 63","solve"
"id 63","problem"
"id 63","anyone"
"id 63","theyre"
"id 63","making"
"id 63","new"
"id 63","transphobe"
"id 63","time"
"id 63","#disruptjmm"
"id 63","#jmm2020"
"id 63","user10"
"id 64","like"
"id 64","responsibility"
"id 64","better"
"id 64","dont"
"id 64","put"
"id 64","labor"
"id 64","tran"
"id 64","nb"
"id 64","people"
"id 64","tell"
"id 64","better"
"id 64","#disruptjmm"
"id 64","#jmm2020"
"id 64","user10"
"id 65","can"
"id 65","allie"
"id 65","best"
"id 65","handle"
"id 65","making"
"id 65","mistake"
"id 65","know"
"id 65","youre"
"id 65","human"
"id 65","give"
"id 65","grace"
"id 65","also"
"id 65","guilt"
"id 65","useful"
"id 65","motivator"
"id 65","better"
"id 65","use"
"id 65","negative"
"id 65","experience"
"id 65","change"
"id 65","better"
"id 65","dont"
"id 65","make"
"id 65","mistake"
"id 65","#disruptjmm"
"id 65","#jmm2020"
"id 65","user10"
"id 66","resource"
"id 66","learn"
"id 66","trevor"
"id 66","project"
"id 66","ostem"
"id 66","pflag"
"id 66","#disruptjmm"
"id 66","#jmm2020"
"id 66","user10"
"id 67","tran"
"id 67","nonbinary"
"id 67","student"
"id 67","staff"
"id 67","faculty"
"id 67","acros"
"id 67","campu"
"id 67","solidarity"
"id 67","doesnt"
"id 67","extend"
"id 67","outside"
"id 67","classroom"
"id 67","going"
"id 67","far"
"id 67","enough"
"id 67","#disruptjmm"
"id 67","#jmm2020"
"id 67","user10"
"id 68","panel"
"id 68","supporting"
"id 68","tran"
"id 68","nonbinary"
"id 68","student"
"id 68","gonna"
"id 68","weird"
"id 68","moment"
"id 68","someone"
"id 68","need"
"id 68","something"
"id 68","just"
"id 68","help"
"id 68","people"
"id 68","#disruptjmm"
"id 68","#jmm2020"
"id 68","user10"
"id 69","im"
"id 69","glad"
"id 69","#disruptjmm"
"id 69","see"
"id 69","established"
"id 69","mathematician"
"id 69","speaking"
"id 69","often"
"id 69","harassing"
"id 69","inappropriate"
"id 69","behavior"
"id 69","male"
"id 69","mathematician"
"id 69","excused"
"id 69","social"
"id 69","awkwardnes"
"id 69","everyone"
"id 69","need"
"id 69","held"
"id 69","simple"
"id 69","standard"
"id 69","treating"
"id 69","colleague"
"id 69","dignity"
"id 70","every"
"id 70","clas"
"id 70","culture"
"id 70","youre"
"id 70","intentional"
"id 70","want"
"id 70","culture"
"id 70","can"
"id 70","end"
"id 70","something"
"id 70","really"
"id 70","dont"
"id 70","want"
"id 70","#disruptjmm"
"id 70","#jmm2020"
"id 70","user10"
"id 71","kelly"
"id 71","macarthur"
"id 71","now"
"id 71","speaking"
"id 71","way"
"id 71","she"
"id 71","worked"
"id 71","rehumanize"
"id 71","exam"
"id 71","big"
"id 71","calculu"
"id 71","course"
"id 71","shifting"
"id 71","pedagogy"
"id 71","assessment"
"id 71","there"
"id 71","weird"
"id 71","mismatch"
"id 71","undermine"
"id 71","work"
"id 71","#disruptjmm"
"id 71","#jmm2020"
"id 71","user10"
"id 72","user212"
"id 72","privilege"
"id 72","make"
"id 72","structure"
"id 72","effort"
"id 72","needed"
"id 72","keep"
"id 72","place"
"id 72","invisible"
"id 72","least"
"id 72","privileged"
"id 72","perspective"
"id 72","#disruptjmm"
"id 72","thank"
"id 72","brian"
"id 72","great"
"id 72","talk"
"id 73","know"
"id 73","lot"
"id 73","mediocre"
"id 73","white"
"id 73","men"
"id 73","academia"
"id 73","thu"
"id 73","allowed"
"id 73","lot"
"id 73","mediocre"
"id 73","people"
"id 73","color"
"id 73","academia"
"id 73","#jmm2020"
"id 73","#disruptjmm"
"id 73","user10"
"id 74","user212"
"id 74","everyone"
"id 74","student"
"id 74","professional"
"id 74","experience"
"id 74","critical"
"id 74","inquiry"
"id 74","#disruptjmm"
"id 75","course"
"id 75","math"
"id 75","disciplinary"
"id 75","worldview"
"id 75","collective"
"id 75","failure"
"id 75","identify"
"id 75","interrogate"
"id 75","assumption"
"id 75","worldview"
"id 75","one"
"id 75","greatest"
"id 75","disciplinary"
"id 75","failure"
"id 75","#jmm2020"
"id 75","#disruptjmm"
"id 75","user10"
"id 76","favorite"
"id 76","#jmm2020"
"id 76","photo"
"id 76","illustrate"
"id 76","joyfulnes"
"id 76","dr"
"id 76","ulrica"
"id 76","wilson"
"id 76","user97"
"id 76","math"
"id 76","prof"
"id 76","dr"
"id 76","karoline"
"id 76","pershell"
"id 76","exec"
"id 76","director"
"id 76","user101"
"id 76","image"
"id 76","conjure"
"id 76","think"
"id 76","mathematician"
"id 76","look"
"id 76","like"
"id 76","tweet"
"id 76","example"
"id 76","#disruptjmm"
"id 76","user10"
"id 77","here"
"id 77","reading"
"id 77","list"
"id 77","go"
"id 77","home"
"id 77","work"
"id 77","learning"
"id 77","#disruptjmm"
"id 77","#jmm2020"
"id 77","user10"
"id 78","#disruptjmm"
"id 79","whitenes"
"id 79","privilege"
"id 79","distinguishe"
"id 79","claiming"
"id 79","undistinguished"
"id 79","what"
"id 79","mathematical"
"id 79","object"
"id 79","act"
"id 79","like"
"id 79","#disruptjmm"
"id 79","#jmm2020"
"id 79","user10"
"id 80","lot"
"id 80","overlap"
"id 80","user347"
"id 80","panel"
"id 80","ethic"
"id 80","#jmm2020"
"id 80","#disruptjmm"
"id 80","user10"
"id 81","just"
"id 81","think"
"id 81","lot"
"id 81","entire"
"id 81","slide"
"id 81","#disruptjmm"
"id 81","user10"
"id 81","#jmm2020"
"id 82","stereotype"
"id 82","mathematician"
"id 82","lawful"
"id 82","neutral"
"id 82","bk"
"id 82","identifie"
"id 82","chaotic"
"id 82","good"
"id 82","#disruptjmm"
"id 83","full"
"id 83","house"
"id 83","user212"
"id 83","talk"
"id 83","mathematic"
"id 83","neutral"
"id 83","#disruptjmm"
"id 83","user10"
"id 83","#jmm2020"
"id 84","harassment"
"id 84","mathematic"
"id 84","harmful"
"id 84","current"
"id 84","wouldbe"
"id 84","mathematician"
"id 84","also"
"id 84","though"
"id 84","les"
"id 84","important"
"id 84","people"
"id 84","harmed"
"id 84","user172"
"id 84","make"
"id 84","clear"
"id 84","directly"
"id 84","harmful"
"id 84","mathematic"
"id 84","#disruptjmm"
"id 84","#jmm2020"
"id 85","user75"
"id 85","#disruptjmm"
"id 85","ill"
"id 85","thinking"
"id 86","#disruptjmm"
"id 87","user129"
"id 87","there"
"id 87","alway"
"id 87","next"
"id 87","year"
"id 87","#disruptjmm"
"id 87","#disruptmath"
"id 88","#disruptjmm"
"id 88","talk"
"id 88","tomorrow"
"id 89","love"
"id 89","#disruptjmm"
"id 89","tag"
"id 89","math"
"id 89","ever"
"id 89","neutral"
"id 90","#disruptjmm"
"id 91","im"
"id 91","disappointed"
"id 91","#disruptjmm"
"id 91","became"
"id 91","thing"
"id 91","stopped"
"id 91","attending"
"id 92","okay"
"id 92","talk"
"id 92","done"
"id 92","sent"
"id 92","organizer"
"id 92","now"
"id 92","can"
"id 92","continue"
"id 92","#disruptjmm"
"id 93","arent"
"id 93","much"
"id 93","one"
"id 93","#disruptjmm"
"id 94","wish"
"id 94","#disruptjmm"
"id 94","quit"
"id 94","maybe"
"id 94","still"
"id 94","academia"
"id 94","youre"
"id 94","amazing"
"id 94","people"
"id 94","💪✊"
"id 95","interestingly"
"id 95","there"
"id 95","also"
"id 95","research"
"id 95","suggesting"
"id 95","similar"
"id 95","phenomenon"
"id 95","ta"
"id 95","engage"
"id 95","prof"
"id 95","dev"
"id 95","around"
"id 95","teaching"
"id 95","bio"
"id 95","community"
"id 95","data"
"id 95","blanking"
"id 95","paper"
"id 95","thought"
"id 95","interested"
"id 95","teaching"
"id 95","distract"
"id 95","turn"
"id 95","jedi"
"id 95","#disruptjmm"
"id 96","phd"
"id 96","advisor"
"id 96","took"
"id 96","14"
"id 96","time"
"id 96","acknowledging"
"id 96","native"
"id 96","land"
"id 96","discussing"
"id 96","sexual"
"id 96","harassment"
"id 96","mathematic"
"id 96","everything"
"id 96","#disruptjmm"
"id 97","haimo"
"id 97","award"
"id 97","presentation"
"id 97","cite"
"id 97","bell"
"id 97","hook"
"id 97","#disruptjmm"
"id 98","#disruptjmm"
"id 98","statement"
"id 98","❤️❤️❤️"
"id 99","omg"
"id 99","user172"
"id 99","🔥🔥🔥😭😭😭"
"id 99","#disruptjmm"
"id 99","happy"
"id 99","acknowledged"
"id 99","overthrow"
"id 99","hawaii"
"id 99","brought"
"id 99","tear"
"id 99","talking"
"id 99","sexual"
"id 99","harassment"
"id 99","math"
"id 100","im"
"id 100","bar"
"id 100","wynkoop"
"id 100","anyone"
"id 100","want"
"id 100","join"
"id 100","#disruptjmm"
"id 101","new"
"id 101","school"
"id 101","nyc"
"id 101","curriculum"
"id 101","disruption"
"id 101","week"
"id 101","#jmm2020"
"id 101","#disruptjmm"
"id 102","user168"
"id 102","doesnt"
"id 102","seem"
"id 102","common"
"id 102","usa"
"id 102","point"
"id 102","brought"
"id 102","home"
"id 102","talk"
"id 102","given"
"id 102","user102"
"id 102","user10"
"id 102","earlier"
"id 102","week"
"id 102","felt"
"id 102","strongly"
"id 102","something"
"id 102","needed"
"id 102","done"
"id 102","acknowledge"
"id 102","#disruptjmm"
"id 102","issue"
"id 102","brought"
"id 103","speaker"
"id 103","mention"
"id 103","reference"
"id 103","object"
"id 103","youve"
"id 103","worked"
"id 103","career"
"id 103","pointedly"
"id 103","fail"
"id 103","include"
"id 103","book"
"id 103","wrote"
"id 103","am"
"id 103","bookstall"
"id 103","downstair"
"id 103","#disruptjmm"
"id 103","#jmm2020"
"id 104","poster"
"id 104","question"
"id 104","note"
"id 104","drug"
"id 104","expensive"
"id 104","can"
"id 104","user347"
"id 104","user10"
"id 104","#disruptjmm"
"id 104","#jmm2020"
"id 105","hope"
"id 105","acknowledgment"
"id 105","appropriate"
"id 105","#disruptjmm"
"id 105","#jmm2020"
"id 106","user125"
"id 106","what"
"id 106","#disruptjmm"
"id 107","day"
"id 107","teach"
"id 107","calculu"
"id 107","50"
"id 107","minute"
"id 107","spend"
"id 107","next"
"id 107","10"
"id 107","min"
"id 107","following"
"id 107","everyone"
"id 107","#disruptjmm"
"id 107","tweet"
"id 107","repeat"
"id 107","x4"
"id 108","#jmm2020"
"id 108","people"
"id 108","think"
"id 108","im"
"id 108","wearing"
"id 108","math"
"id 108","shirt"
"id 108","#kukiaimauna"
"id 108","#disruptjmm"
"id 108","#hawaiianmath"
"id 109","patrick"
"id 109","ingram"
"id 109","started"
"id 109","amazing"
"id 109","talk"
"id 109","asking"
"id 109","audience"
"id 109","go"
"id 109","see"
"id 109","who"
"id 109","land"
"id 109","live"
"id 109","#disruptjmm"
"id 110","note"
"id 110","look"
"id 110","user82"
"id 110","work"
"id 110","mtep"
"id 110","proceeding"
"id 110","#disruptjmm"
"id 110","#jmm2020"
"id 110","user10"
"id 111","user37"
"id 111","really"
"id 111","appreciated"
"id 111","talk"
"id 111","importance"
"id 111","alternatemultiple"
"id 111","representation"
"id 111","small"
"id 111","change"
"id 111","can"
"id 111","huge"
"id 111","impact"
"id 111","#jmm2020"
"id 111","#disruptjmm"
"id 112","user82"
"id 112","suggest"
"id 112","taking"
"id 112","different"
"id 112","approach"
"id 112","mathematical"
"id 112","epistemology"
"id 112","thu"
"id 112","broadening"
"id 112","perception"
"id 112","count"
"id 112","mathematical"
"id 112","participation"
"id 112","help"
"id 112","#disruptjmm"
"id 112","hegemony"
"id 112","#jmm2020"
"id 112","user10"
"id 113","user37"
"id 113","provided"
"id 113","probably"
"id 113","important"
"id 113","#jmm2020"
"id 113","takeaway"
"id 113","#disruptjmm"
"id 113","#socialjustice"
"id 113","user235"
"id 113","user10"
"id 113","user347"
"id 114","mathematic"
"id 114","currently"
"id 114","province"
"id 114","particular"
"id 114","cultural"
"id 114","group"
"id 114","therefore"
"id 114","reflect"
"id 114","hegemony"
"id 114","group"
